35
1, 1, -1, ff0000, 0.10, 100
1, 1, -1, 00ff00, 0.10, 100
1, 1, -1, 0000ff, 0.10, 100
1, 1, -1, ffff00, 0.10, 100
1, 1, -1, 00ffff, 0.10, 100
1, 1, -1, ffffff, 0.10, 100
1, 1, -1, 000000, 0.10, 100
2, 2, -1, ff0000, 0.10, 100
2, 2, -1, 00ff00, 0.10, 100
2, 2, -1, 0000ff, 0.10, 100
2, 2, -1, ffff00, 0.10, 100
2, 2, -1, 00ffff, 0.10, 100
2, 2, -1, ffffff, 0.10, 100
2, 2, -1, 000000, 0.10, 100
4, 4, -1, ff0000, 0.10, 100
4, 4, -1, 00ff00, 0.10, 100
4, 4, -1, 0000ff, 0.10, 100
4, 4, -1, ffff00, 0.10, 100
4, 4, -1, 00ffff, 0.10, 100
4, 4, -1, ffffff, 0.10, 100
4, 4, -1, 000000, 0.10, 100
8, 8, -1, ff0000, 0.10, 100
8, 8, -1, 00ff00, 0.10, 100
8, 8, -1, 0000ff, 0.10, 100
8, 8, -1, ffff00, 0.10, 100
8, 8, -1, 00ffff, 0.10, 100
8, 8, -1, ffffff, 0.10, 100
8, 8, -1, 000000, 0.10, 100
16, 16, -1, ff0000, 0.10, 100
16, 16, -1, 00ff00, 0.10, 100
16, 16, -1, 0000ff, 0.10, 100
16, 16, -1, ffff00, 0.10, 100
16, 16, -1, 00ffff, 0.10, 100
16, 16, -1, ffffff, 0.10, 100
16, 16, -1, 000000, 0.10, 100
